"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13131","В данном тесте будем проверять вывод команды show firmware","function_autotests.part002","Tue Jun 10 11:25:56 GMT+07:00 2025","passed","Tue Jun 10 11:26:09 GMT+07:00 2025","","test_0013_part2","",""
"","3180","В данном тесте будем тестировать banner motd и banner login для ssh-соединения при выключенном tacacs-сервере","function_autotests.part002","Tue Jun 10 11:28:43 GMT+07:00 2025","passed","Tue Jun 10 11:28:46 GMT+07:00 2025","","test_0019_part2","",""
"","180911","Проверка балансировки IGP: ISIS трафика между интерфейсами с отключением интерфейсов","function_autotests.part021.part021.1","Tue Jun 10 12:09:44 GMT+07:00 2025","passed","Tue Jun 10 12:12:44 GMT+07:00 2025","","test_0005_part21_1","",""
"","581","В данном тесте будем проверять вывод команды show users","function_autotests.part002","Tue Jun 10 11:26:12 GMT+07:00 2025","passed","Tue Jun 10 11:26:13 GMT+07:00 2025","","test_0015_part2","",""
"","1635","Проверка вывода команды show isis fast-reroute","function_autotests.part004.part004.04","Tue Jun 10 11:45:01 GMT+07:00 2025","passed","Tue Jun 10 11:45:03 GMT+07:00 2025","","test_0006_part4_4","",""
"","8222","Загрузка конфигурации на ME маршрутизатор","function_autotests.part003","Tue Jun 10 11:36:46 GMT+07:00 2025","passed","Tue Jun 10 11:36:54 GMT+07:00 2025","","test_0001_part3","",""
"","3028","В данном тесте будем проверять формирование backup-файла конфигурации ME маршрутизатора на TFTP сервере","function_autotests.part002","Tue Jun 10 11:24:41 GMT+07:00 2025","passed","Tue Jun 10 11:24:44 GMT+07:00 2025","","test_0002_part2","",""
"","3026","Выполнение команды lfa exclude на интерфейсе int1 и проверка вывода команды show route isis","function_autotests.part004.part004.04","Tue Jun 10 11:44:50 GMT+07:00 2025","passed","Tue Jun 10 11:44:53 GMT+07:00 2025","","test_0005_part4_4","",""
"","1882","В данном тесте будем  проверять вывод комнады show lldp neighbors detail","function_autotests.part003","Tue Jun 10 11:37:25 GMT+07:00 2025","passed","Tue Jun 10 11:37:27 GMT+07:00 2025","","test_0005_part3","",""
"","38286","Загрузка конфигурации на ME маршрутизатор","function_autotests.part021.part021.1","Tue Jun 10 12:02:37 GMT+07:00 2025","passed","Tue Jun 10 12:03:15 GMT+07:00 2025","","test_0001_part21_1","",""
"","15829","Проверка вывода команды show mpls ldp neighbor","function_autotests.part004.part004.06","Tue Jun 10 11:46:32 GMT+07:00 2025","passed","Tue Jun 10 11:46:47 GMT+07:00 2025","","test_0002_part4_6","",""
"","818","В данном тесте будем проверять вывод команды show system inventory","function_autotests.part002","Tue Jun 10 11:25:40 GMT+07:00 2025","passed","Tue Jun 10 11:25:40 GMT+07:00 2025","","test_0007_part2","",""
"","1544","В данном тесте будем  проверять доступность маршрутизатора по протоколу SSH","function_autotests.part001","Tue Jun 10 11:19:59 GMT+07:00 2025","passed","Tue Jun 10 11:20:01 GMT+07:00 2025","","test_0004_part1","",""
"","1830","В данном тесте будем  проверять вывод команды show lldp","function_autotests.part003","Tue Jun 10 11:37:08 GMT+07:00 2025","passed","Tue Jun 10 11:37:10 GMT+07:00 2025","","test_0002_part3","",""
"","695","В данном тесте будем проверять вывод команды show version","function_autotests.part002","Tue Jun 10 11:25:45 GMT+07:00 2025","passed","Tue Jun 10 11:25:46 GMT+07:00 2025","","test_0009_part2","",""
"","1059","В данном тесте будем проверять вывод команды show interface status","function_autotests.part002","Tue Jun 10 11:25:50 GMT+07:00 2025","passed","Tue Jun 10 11:25:51 GMT+07:00 2025","","test_0011_part2","",""
"","3145","В данном тесте будем тестировать banner motd и banner login для ssh-соединения при выключенном tacacs-сервере","function_autotests.part002","Tue Jun 10 11:28:46 GMT+07:00 2025","passed","Tue Jun 10 11:28:49 GMT+07:00 2025","","test_0019_part2","",""
"","17318","Загрузка конфигурации на ME маршрутизатор","function_autotests.part004.part004.04","Tue Jun 10 11:41:46 GMT+07:00 2025","passed","Tue Jun 10 11:42:03 GMT+07:00 2025","","test_0001_part4_4","",""
"","138815","В данном тесте проверяется session-limit для telnet/ssh","function_autotests.part002","Tue Jun 10 11:33:10 GMT+07:00 2025","passed","Tue Jun 10 11:35:28 GMT+07:00 2025","","test_0022_part2","",""
"","16847","Загрузка конфигурации на ME маршрутизатор","function_autotests.part004.part004.04","Tue Jun 10 11:42:03 GMT+07:00 2025","passed","Tue Jun 10 11:42:20 GMT+07:00 2025","","test_0001_part4_4","",""
"","2854","Выполнение команды lfa protection disable на интерфейсе bu1 и проверка вывода команды show route isis","function_autotests.part004.part004.04","Tue Jun 10 11:44:42 GMT+07:00 2025","passed","Tue Jun 10 11:44:45 GMT+07:00 2025","","test_0004_part4_4","",""
"","665","Проверка вывода команды show route rib summary точное кол-во различных типов маршрутов НЕ проверяется, т.к. оно отличается у разных рутеров тестового стенда","function_autotests.part004.part004.02","Tue Jun 10 11:41:25 GMT+07:00 2025","passed","Tue Jun 10 11:41:26 GMT+07:00 2025","","test_0008_part4_2","",""
"","5498","В данном тесте будем  проверять IP связность с P2P соседями маршрутизатора","function_autotests.part001","Tue Jun 10 11:20:12 GMT+07:00 2025","passed","Tue Jun 10 11:20:18 GMT+07:00 2025","","test_0005_part1","",""
"","785","В данном тесте будем проверять вывод команды show system environment","function_autotests.part002","Tue Jun 10 11:25:41 GMT+07:00 2025","passed","Tue Jun 10 11:25:42 GMT+07:00 2025","","test_0008_part2","",""
"","2121","В данном тесте будем проверять работу arp-proxy","function_autotests.part002","Tue Jun 10 11:28:38 GMT+07:00 2025","passed","Tue Jun 10 11:28:40 GMT+07:00 2025","","test_0018_part2","",""
"","1799","В данном тесте будем  проверять вывод комнады show lldp statistic","function_autotests.part003","Tue Jun 10 11:37:11 GMT+07:00 2025","passed","Tue Jun 10 11:37:13 GMT+07:00 2025","","test_0003_part3","",""
"","655","Проверка вывода команды show mpls ldp forwarding","function_autotests.part004.part004.06","Tue Jun 10 11:46:55 GMT+07:00 2025","passed","Tue Jun 10 11:46:56 GMT+07:00 2025","","test_0005_part4_6","",""
"","8218","В данном тесте будем проверять работу arp-proxy","function_autotests.part002","Tue Jun 10 11:28:21 GMT+07:00 2025","passed","Tue Jun 10 11:28:30 GMT+07:00 2025","","test_0018_part2","",""
"","542","В данном тесте будем проверять вывод команды show privilege","function_autotests.part002","Tue Jun 10 11:26:11 GMT+07:00 2025","passed","Tue Jun 10 11:26:12 GMT+07:00 2025","","test_0014_part2","",""
"","1128","Проверка вывода команды show isis interface","function_autotests.part004.part004.02","Tue Jun 10 11:41:16 GMT+07:00 2025","passed","Tue Jun 10 11:41:17 GMT+07:00 2025","","test_0004_part4_2","",""
"","688","В данном тесте будем проверять вывод команды show interface description","function_autotests.part002","Tue Jun 10 11:25:46 GMT+07:00 2025","passed","Tue Jun 10 11:25:47 GMT+07:00 2025","","test_0010_part2","",""
"","24910","Проверка базового функционала ECMP","function_autotests.part021.part021.2","Tue Jun 10 12:22:05 GMT+07:00 2025","passed","Tue Jun 10 12:22:30 GMT+07:00 2025","","test_0003_part21_2","",""
"","826","В данном тесте будем проверять вывод команды show system inventory","function_autotests.part002","Tue Jun 10 11:25:40 GMT+07:00 2025","passed","Tue Jun 10 11:25:41 GMT+07:00 2025","","test_0007_part2","",""
"","1271","В данном тесте будем проверять вывод команды show interface utilization","function_autotests.part002","Tue Jun 10 11:25:53 GMT+07:00 2025","passed","Tue Jun 10 11:25:55 GMT+07:00 2025","","test_0012_part2","",""
"","1580","В данном тесте будем  проверять доступность маршрутизатора по протоколу SSH","function_autotests.part001","Tue Jun 10 11:19:56 GMT+07:00 2025","passed","Tue Jun 10 11:19:58 GMT+07:00 2025","","test_0004_part1","",""
"","1094","test_show_isis_neighbor_part4_2[DUT2]","function_autotests.part004.part004.02","Tue Jun 10 11:41:13 GMT+07:00 2025","passed","Tue Jun 10 11:41:14 GMT+07:00 2025","","test_0003_part4_2","",""
"","1794","В данном тесте будем  проверять вывод команды show lldp","function_autotests.part003","Tue Jun 10 11:37:06 GMT+07:00 2025","passed","Tue Jun 10 11:37:08 GMT+07:00 2025","","test_0002_part3","",""
"","668","Проверка вывода команды show mpls ldp parameters","function_autotests.part004.part004.06","Tue Jun 10 11:46:57 GMT+07:00 2025","passed","Tue Jun 10 11:46:57 GMT+07:00 2025","","test_0006_part4_6","",""
"","2026","В данном тесте будем  проверять вывод комнады show lldp interface","function_autotests.part003","Tue Jun 10 11:37:31 GMT+07:00 2025","passed","Tue Jun 10 11:37:33 GMT+07:00 2025","","test_0006_part3","",""
"","170553","Проверка балансировки IGP: OSPF трафика между интерфейсами с отключением интерфейсов","function_autotests.part021.part021.2","Tue Jun 10 12:27:45 GMT+07:00 2025","passed","Tue Jun 10 12:30:36 GMT+07:00 2025","","test_0005_part21_2","",""
"","1154","Проверка вывода команды show isis interface statistic","function_autotests.part004.part004.02","Tue Jun 10 11:41:19 GMT+07:00 2025","passed","Tue Jun 10 11:41:21 GMT+07:00 2025","","test_0005_part4_2","",""
"","127619","В данном тесте проверяется session-limit для telnet/ssh","function_autotests.part002","Tue Jun 10 11:28:51 GMT+07:00 2025","passed","Tue Jun 10 11:30:59 GMT+07:00 2025","","test_0022_part2","",""
"","3182","В данном тесте будем тестировать banner motd и banner login для ssh-соединения при выключенном tacacs-сервере","function_autotests.part002","Tue Jun 10 11:28:40 GMT+07:00 2025","passed","Tue Jun 10 11:28:43 GMT+07:00 2025","","test_0019_part2","",""
"","619","В данном тесте будем проверять вывод команды show users","function_autotests.part002","Tue Jun 10 11:26:13 GMT+07:00 2025","passed","Tue Jun 10 11:26:14 GMT+07:00 2025","","test_0015_part2","",""
"","12428","Загрузка конфигурации на ME маршрутизатор","function_autotests.part004.part004.02","Tue Jun 10 11:39:02 GMT+07:00 2025","passed","Tue Jun 10 11:39:15 GMT+07:00 2025","","test_0001_part4_2","",""
"","5653","В данном тесте будем  проверять IP связность с P2P соседями маршрутизатора","function_autotests.part001","Tue Jun 10 11:20:06 GMT+07:00 2025","passed","Tue Jun 10 11:20:12 GMT+07:00 2025","","test_0005_part1","",""
"","17909","Загрузка конфигурации на ME маршрутизатор","function_autotests.part004.part004.06","Tue Jun 10 11:45:42 GMT+07:00 2025","passed","Tue Jun 10 11:46:00 GMT+07:00 2025","","test_0001_part4_6","",""
"","41170","В данном тесте будем проверять частоту обновления arp-таблицы","function_autotests.part002","Tue Jun 10 11:27:40 GMT+07:00 2025","passed","Tue Jun 10 11:28:21 GMT+07:00 2025","","test_0017_part2","",""
